moft	most
accomplifhed	accomplished
feventh	seventh
Efquire	Esquire
Epiftle	Epistle
preferved	preserved
fweet	sweet
finging	singing
ftoode	stoode
fubtil	subtil
teftament	testament
purchafe	purchase
fhewde	shewde
trufty	trusty
fkil	skil
lufty	lusty
prifon	prison
mufe	muse
ftop	stop
foule	soule
Mufe	Muse
fway	sway
vouchfafe	vouchsafe
deferts	deserts
feene	seene
fhalbe	shalbe
fhoulde	shoulde
vnleffe	vnlesse
promife	promise
difclofe	disclose
rayfe	rayse
hardeft	hardest
emphafis	emphasis
fillables	sillables
founde	sounde
Alfo	Also
feemeth	seemeth
reafons	reasons
fyllable	syllable
amiffe	amisse
ftande	stande
afwell	aswell
befte	beste
ftaffe	staffe
fomewhat	somewhat
funne	sunne
feeke	seeke
faying	saying
facred	sacred
bufie	busie
prefume	presume
afhamed	ashamed
fcorne	scorne
fteppes	steppes
(whofe	(whose
hafty	hasty
worfe	worse
harmeleffe	harmelesse
fubtile	subtile
perfuaded	persuaded
feemd	seemd
fprings	springs
fcourge	scourge
Peafant	Peasant
Priefts	Priests
fumpteous	sumpteous
fwete	swete
nobleft	noblest
fouldiours	souldiours
prefence	presence
fkilful	skilful
deferue	deserue
Auguftus	Augustus
Moft	Most
ftay	stay
faide	saide
abfent	absent
fpare	spare
(fince	(since
myfelf	myself
fweete	sweete
lothfome	lothsome
fpend	spend
fyftem	system
purfuit	pursuit
fatisfied	satisfied
Pharfalia	Pharsalia
fcience	science
difgraced	disgraced
ftamp	stamp
inftruction	instruction
boifterous	boisterous
grofs	gross
immenfe	immense
afcribed	ascribed
univerfal	universal
affiftance	affistance
interefted	interested
ftep	step
fenfations	sensations
fenfes	senses
anfwered	answered
boundlefs	boundless
noife	noise
unufual	unusual
mafs	mass
greatnefs	greatness
affift	assist
arifing	arising
ftances	stances
fuccefs	success
tranflation	translation
raifes	raises
fhaking	shaking
fpoke	spoke
enthufiafm	enthusiasm
infignificant	insignificant
excefs	excess
exquifitely	exquisitely
tranfport	transport
felection	selection
pleafes	pleases
fufferings	sufferings
fofter	softer
compaffion	compassion
fudden	sudden
fecondary	secondary
ufual	usual
arife	arise
reprefents	represents
feparated	separated
fuppofe	fuppose
fufficiently	sufficiently
ftock	stock
ftudying	studying
neceffarily	necessarily
fuffered	suffered
fpeaker's	speaker's
ftanding	standing
invifible	invisible
fignifies	signifies
fupplied	supplied
arofe	arose
deferve	deserve
tenfes	tenses
fpoken	spoken
affumed	assumed
barrennefs	barrenness
diveft	divest
refts	rests
diverfity	diversity
abfolutely	absolutely
carelefs	careless
Bifhop	Bishop
livelinefs	liveliness
difpofe	dispose
confpicuous	conspicuous
profufion	profusion
illuftrated	illustrated
diftance	distance
inconfiftent	inconsistent
abfurd	absurd
acceffory	accessory
inftantly	instantly
confufion	confusion
philofophical	philosophical
loweft	lowest
perfonifications	personifications
unfuitable	unsuitable
contrafted	contrasted
philofophy	philosophy
digreffions	digressions
ftiffnefs	stiffness
Laftly	Lastly
fucceeded	succeeded
ftudies	studies
perfuade	persuade
ftating	stating
mafterly	masterly
fuit	suit
lofing	losing
correctnefs	correctness
decifion	decision
infpired	inspired
nefs	ness
addreffed	addressed
teft	test
divifions	divisions
fafhionable	fashionable
fituation	situation
illuftrate	illustrate
fwell	swell
inftructive	instructive
chafte	chaste
diftinguifhes	distinguishes
modefty	modesty
Notwithftanding	Notwithstanding
fhepherd	shepherd
fcenery	scenery
licentioufnefs	licentiousness
politenefs	politeness
enterprife	enterprise
perfonage	personage
Vafco	Vasco
cataftrophe	catastrophe
fpectators	spectators
Verfe	Verse
Efq	Esq
praifeworthy	praiseworthy
exifts	exists
doubtlefs	doubtless
perfonal	personal
dafh	dash
fhowres	showres
fodaine	sodaine
prefumde	presumde
glimfeth	glimseth
fatire	satire
defcant	descant
fteade	steade
Glaffemaker	Glassemaker
myfelfe	myselfe
vanifht	vanisht
feeming	seeming
blafe	blase
didft	didst
haft	hast
foolifh	foolish
ftone	stone
fheep	sheep
flender	slender
plafte	plaste
tranfformed	transformed
fufpect	suspect
vnderftood	vnderstood
ftoutly	stoutly
feas	seas
blafts	blasts
fcape	scape
confcience	conscience
fole	sole
requeft	request
Chrift	Christ
difcharge	discharge
difquiet	disquiet
prefcribed	prescribed
prepofterous	preposterous
neuertheleffe	neuerthelesse
aunfwere	aunswere
prayfe	prayse
depreffed	depressed
fignified	signified
fatiffie	satisfie
difcretion	discretion
Latinifts	Latinists
fhorte	shorte
eafie	easie
fmile	smile
anfwere	answere
finifh	finish
mufte	muste
croffe	crosse
feconde	seconde
worthineffe	worthinesse
affured	assured
correfpondent	correspondent
mifpent	mispent
ftriue	striue
fparke	sparke
lightneffe	lightnesse
filent	silent
Gafcoignes	Gascoignes
peereleffe	peerelesse
efteme	esteme
graueft	grauest
fuffyfe	suffyse
fauce	sauce
(percafe	(percase
deferues	deserues
ghofts	ghosts
fpight	spight
efteemed	esteemed
vnderftand	vnderstand
Philofophers	Philosophers
furpaffed	surpassed
pleafde	pleasde
fpring	spring
fhining	shining
miftake	mistake
profperity	prosperity
fkies	skies
aunceftors	auncestors
fobre	sobre
fhape	shape
Reafon	Reason
abufe	abuse
fubtilty	subtilty
fifhe	fishe
Iuftice	Iustice
reftles	restles
fleepe	sleepe
forfight	forsight
fpent	spent
vnfeene	vnseene
exceffe	excesse
ftrife	strife
fpangs	spangs
fhoes	shoes
fervde	servde
fcarcely	scarcely
fmel	smel
braueft	brauest
fene	sene
beafts	beasts
fpoyle	spoyle
fheath	sheath
defpife	despise
(Bycaufe	(Bycause
fteale	steale
compaffe	compasse
fermon	sermon
fteps	steps
ftealing	stealing
vfde	vsde
reafonable	reasonable
tinfel	tinsel
refufe	refuse
fhewed	shewed
finne	sinne
proceffe	processe
magiftrates	magistrates
manfion	mansion
exercifed	exercised
fel	sel
fooner	sooner
ftuffe	stuffe
fheweth	sheweth
fmyling	smyling
Spanifh	Spanish
forrow	sorrow
geffe	gesse
ftring	string
eldeft	eldest
embraft	embrast
fpurre	spurre
lewdneffe	lewdnesse
felly	selly
guiltleffe	guiltlesse
blufh	blush
dreft	drest
weakeft	weakest
fworde	sworde
afhes	ashes
caufed	caused
fonnes	sonnes
fearching	searching
remorfe	remorse
foremoft	foremost
breaft	breast
difdaine	disdaine
excufe	excuse
Némefis	Némesis
fides	sides
fometime	sometime
rafh	rash
fhortly	shortly
ferviceable	serviceable
Antithefis	Antithesis
Precifion	Precision
Progrefs	Progress
fuba	suba
fyftem	fystem
increafes	increases
fuppofes	supposes
nourifh	nourish
decifions	decisions
affertion	assertion
infeparable	inseparable
precifely	precisely
impofed	imposed
beftow	bestow
afcends	ascends
Criticifm	Criticism
conclufions	conclusions
fucceeding	succeeding
ufefulnefs	usefulness
Effay	Essay
felves	selves
ferved	served
profpects	prospects
fenfation	sensation
diftinctly	distinctly
rufhes	rushes
endlefs	endless
wildnefs	wildness
difregarded	disregarded
ftorm	storm
impreflions	impreslions
deftitute	destitute
aftonifhment	astonishment
imprefa	impresa
reprefenting	representing
affem	assem
Ifaiah	Isaiah
fpeed	speed
fhake	shake
defcending	descending
difmal	dismal
forefts	forests
Concifenefs	Conciseness
tranflated	translated
extinguifhed	extinguished
unneceffarily	unnecessarily
ambrofial	ambrosial
divefted	divested
furround	surround
burlefque	burlesque
fmalleft	smallest
ftores	stores
obferving	observing
conftitutes	constitutes
fky	sky
ferenity	serenity
fimpleft	simplest
refpecting	respecting
artift	artist
fquare	square
fhown	shown
fuggefting	suggesting
fpreading	spreading
fwift	swift
difgufting	disgusting
obferves	observes
landfcape	landscape
claffed	classed
myfterious	mysterious
mildnefs	mildness
focial	social
refembling	resembling
curiofity	curiosity
purfue	pursue
ftatue	statue
profecution	prosecution
infpiration	inspiration
fuppofing	supposing
wifhed	wished
Confequently	Consequently
crafh	crash
fymbols	symbols
hifs	hiss
whiftle	whistle
arifen	arisen
lofs	loss
fignificant	significant
accuftomed	accustomed
gefticulating	gesticulating
focieties	societies
ftrongeft	strongest
referved	reserved
Inftead	Instead
prefs	press
Underftanding	Understanding
tranfpofition	transposition
fupreme	supreme
neareft	nearest
laftly	lastly
wifdom	wisdom
Chinefe	Chinese
ftood	stood
fpringing	springing
undiftinguifhed	undistinguished
diftributed	distributed
fex	sex
difadvantage	disadvantage
prepofition	preposition
paffive	passive
tenfe	tense
difadvantages	disadvantages
fyntax	syntax
ftreams	streams
amufing	amusing
felect	select
fufceptible	susceptible
majeftic	majestic
copioufnefs	copiousness
fupporting	supporting
expreffivenefs	expressiveness
Perfpicuity	Perspicuity
ufage	usage
felected	selected
fhocking	shocking
deteft	detest
miftaken	mistaken
fynonymous	synonymous
polytheifm	polytheism
defigns	designs
treafures	treasures
mifplaced	misplaced
fhifting	shifting
conftructing	constructing
difpofing	disposing
parenthefes	parentheses
preferving	preserving
ftrains	strains
grofsly	grossly
refufed	refused
drynefs	dryness
feparation	separation
feparating	separating
inferted	inserted
adverfity	adversity
beftows	bestows
diftribution	distribution
infenfible	insensible
fhot	shot
meafured	measured
fonorous	sonorous
Harfh	Harsh
fuppofes	fupposes
fubftituted	substituted
impreffed	impressed
fhips	ships
minifter	minister
fafety	safety
fciences	sciences
refembles	resembles
folemn	solemn
ftraining	straining
profperous	prosperous
fnow	snow
impoffible	impossible
herfelf	herself
diftracting	distracting
liftening	listening
afcribe	ascribe
addreffing	addressing
difcoveries	discoveries
embellifh	embellish
propofe	propose
defigning	designing
earneftnefs	earnestness
unpleafing	unpleasing
diftinctions	distinctions
diffufenefs	diffuseness
claffics	classics
inconfiderable	inconsiderable
poffeffing	possessing
induftry	industry
effays	essays
neatnefs	neatness
compofer	composer
fplendor	splendor
childifh	childish
fuggefted	fuggested
coldnefs	coldness
feized	seized
acquifition	acquisition
interpofition	interposition
vifion	vision
phrafeology	phraseology
advifes	advises
hiftories	histories
philofopher	philosopher
confifting	consisting
feeks	seeks
addreffes	addresses
defpotic	despotic
fhone	shone
fea	sea
flourifhed	flourished
roufe	rouse
compenfated	compensated
impetuofity	impetuosity
criticife	criticise
fermons	sermons
inftrument	instrument
unjuft	unjust
fpeeches	speeches
fubftance	substance
difcord	discord
Refpect	Respect
diforder	disorder
choofe	choose
prefenting	presenting
dreffed	dressed
leifure	leisure
Diftinctnefs	Distinctness
fupport	support
choofes	chooses
fubje&t	subje&t
characteriftics	characteristics
ftricteft	strictest
reafonings	reasonings
exhauft	exhaust
metaphyfical	metaphysical
bafis	basis
conftituent	constituent
fecure	secure
ftrike	strike
afcertaining	ascertaining
ferves	serves
feeblenefs	feebleness
alliftance	allistance
loudnefs	loudness
cæfural	cæsural
affume	assume
wifhes	wishes
ftudents	students
preferves	preserves
feize	seize
digefted	digested
ftations	stations
inftitutions	institutions
Treatife	Treatise
philofophers	philosophers
converfed	conversed
diftinctnefs	distinctness
polifhed	polished
amufement	amusement
conftitution	constitution
buftle	bustle
rudenefs	rudeness
tranfports	transports
refort	resort
confequences	consequences
fhepherds	shepherds
abufive	abusive
friendfhip	friendship
Armftrong	Armstrong
epiftles	epistles
blefs	bless
grafs	grass
mafterpiece	masterpiece
eftablifhment	establishment
Taffo	Tasso
fupernatural	supernatural
Difcord	Discord
exquifite	exquisite
ftrokes	strokes
Ulyffes	Ulysses
Portuguefe	Portuguese
boaft	boast
Chriftian	Christian
difplays	displays
fpirits	spirits
defcent	descent
profaic	prosaic
tranfactions	transactions
viciffitudes	vicissitudes
Æfchylus	Æschylus
diftreffes	distresses
fexes	sexes
difturbed	disturbed
unfeafonably	unseasonably
bombaft	bombast
notwithftanding	notwithstanding
fprightlinefs	sprightliness
prefa	presa
(ä’fä	(ä’sä
ā'rf	ā'rs
ofo	oso
balflot	balslot
buf'ga	bus'ga
căr'rfage	căr'rsage
còrfal	còrsal
(shärftē	(shärstē
-mon'chauf	-mon'chaus
-matfing	-matsing
sherif	sheris
-trifsive	-trissive
-fì	-sì
få	så
Coʻrf	Coʻrs
feft	fest
d'æif	d'æis
-shäft	-shäst
-tfed	-tsed
(düfkān	(düskān
-cărʻrfage	-cărʻrsage
gräf	gräs
zāf	zās
(jêr'fa'kn	(jêr'sa'kn
-mākfer	-mākser
-börfer	-börser
horfo	horso
fatu	satu
cif'ic	cis'ic
ifzer	iszer
ēfzer	ēszer
knfp'kneel	knsp'kneel
Kyr'f	Kyr's
(lēflā	(lēslā
Mä'fi	Mä'si
man'f	man's
Mărfa	Mărsa
(-rish'f	(-rish's
(měf'is	(měs'is
(můr'f	(můr's
(mūfzx'käl	(mūszx'käl
hifto	histo
Nătch'f	Nătch's
Näfquet	Näsquet
nfo	nso
-lyfing	-lysing
pft	pst
rif'er	ris'er
-tfvness	-tsvness
prof'o	pros'o
Profto	Prosto
(püfzha	(püszha
-tāfting	-tāsting
-culrfb'ald	-culrsb'ald
chisfel	chissel
tif'ic	tis'ic
-nifzer	-niszer
sgräf	sgräs
-singfing	-singsing
mon'f	mon's
-erfror	-ersror
-morfel	-morsel
-spoon'ful	-spoon'sul
-visfaged	-vissaged
-sulfky	-sulsky
Inftruction	Instruction
confideration	consideration
Gafcoigne's	Gascoigne's
idiofyncratic	idiosyncratic
time-Whetftone's	time-Whetstone's
affociates	associates
dramatifts	dramatists
fatirift	satirist
perifhed	perished
reprefentative	representative
publifhed	published
poefy	poesy
fpecimens	specimens
foufed	soused
Woodftock	Woodstock
devifing	devising
fimultaneoufly	simultaneously
fhowers	showers
fhowre	showre
fummer	summer
“Gafcoigne's	“Gascoigne's
Meffenger	Messenger
North-weft	North-west
refounds	resounds
Limehoufe	Limehouse
Cloakleffe	Cloaklesse
horfeback	horseback
wefterne.windes	westerne.windes
glafle	glasle
Whetftone	Whetstone
Gafkoigne	Gaskoigne
Whetftons	Whetstons
enfue	ensue
feeft	seeft
refolu'd	resolu'd
afmuch	asmuch
feaft	feast
eft	est
ruft	rust
vnforft	vnforst
fterue	sterue
afpire	aspire
Befides	Besides
ftrait	strait
brainfick	brainsick
fifh	fish
hafte	haste
fhipt	shipt
difmay	dismay
fowrs	sowrs
ftopt	stopt
(fcot	(scot
perfwade	perswade
fpoiles	spoiles
defert	desert
blaft	blast
woorthieft	woorthiest
nipft	nipst
praifd	praisd
refrefh	refresh
fot	sot
curfe	curse
fhowes	showes
fport	sport
beaft	beast
emprife	emprise
poyfoned	poysoned
fleep	sleep
fcar	scar
Gafkoign	Gaskoign
difpraife	dispraise
deferu'd	deseru'd
fettle	settle
fpoile	spoile
feek	seek
miftrufteth	mistrusteth
mifconftred	misconstred
ftarue	starue
ftriketh	striketh
woorfe	woorse
miflike	mislike
pofte	poste
cruffhing	crusshing
whilft	whilst
greefe	greese
pearfe	pearse
digeft	digest
fweeteft	sweetest
ficknes	sicknes
choife	choise
mifling	misling
fudain	sudain
ftuft	stuft
ftir	stir
plefures	plesures
threfhed	threshed
fwim	swim
fkin	skin
affaults	assaults
forfe	forse
Gafkoignie	Gaskoignie
rougheft	roughest
toothfome	toothsome
mifts	mists
Abafe	Abase
Parfones	Parsones
defart	desart
fhiftles	shiftles
Duft	Dust
fpares	spares
fatteft	fattest
fnare	snare
Vnfure	Vnsure
nurifh	nurish
fhare	share
confumes	consumes
fick	sick
faues	saues
flafh	flash
fporte	sporte
beftowes	bestowes
bleffing	blessing
(forfte	(forste
feruice	seruice
fortes	sortes
Chrifto	Christo
forfes	forses
fting	sting
bequeft	bequest
mak'ft	mak'st
ftrugling	strugling
fweetly	sweetly
fain	sain
coldeft	coldest
forfte	forste
(vfe	(vse
fcratch	scratch
fmight	smight
luftieft	lustiest
iefting	iesting
ftriuing	striuing
Hypocrifie	Hypocrisie
lotheft	lothest
know'ft	know'st
afwel	aswel
ftaine	staine
loffe	lofse
fmarting	smarting
fouth	south
maift	maist
poft	post
frefher	fresher
vnfure	vnsure
infue	insue
ftead	stead
fvveat	svveat
fovyne	sovyne
Gafkoygne	Gaskoygne
deftroy	destroy
fack	sack
flefhly	fleshly
Gafkoygnes	Gaskoygnes
fyveet	syveet
neceffarie	necessarie
fuperfine	superfine
affaye	assaye
Mafter	Master
(neuertheleffe	(neuerthelesse
couerteft	couertest
ftudie	studie
Likewife	Likewise
fticke	sticke
hiftorie	historie
vnpoffible	vnpossible
cuftomes	customes
fuperlatiue	superlatiue
aduife	aduise
fhee	shee
fhadowes	shadowes
iefts	iests
difcouer	discouer
fithence	sithence
fupernaturall	supernaturall
fkilfull	skilfull
fhortneffe	shortnesse
Emphafis	Emphasis
fcholler	scholler
depreffion	depression
fnatched	snatched
carelefnes	carelesnes
expreffe	expresse
fillable	sillable
Treafure	Treasure
feweft	fewest
wrefte	wreste
iuftly	iustly
fcanning	scanning
vnderftanding	vnderstanding
perufe	peruse
vfual	vsual
Englifhman	Englishman
fmell	smell
mufters	musters
thruft	thrust
vnpleafant	vnpleasant
modeftly	modestly
lafte	laste
ftile	stile
allthefe	allthese
afmuche	asmuche
efchew	eschew
leffon	lesson
fearche	searche
fchollers	schollers
rofted	rosted
inufitata	inusitata
wifhe	wishe
englifhe	englishe
Ceafures	Ceasures
Englifhe	Englishe
Subftantiue	Substantiue
reftes	restes
efpie	espie
needeleffe	needelesse
falfer	falser
fhorter	shorter
fuperfineffe	superfineffe
aduifed	aduised
fimplicitie	simplicitie
fhrewde	shrewde
aunfwer	aunswer
feruing	seruing
Muficians	Musicians
fignifieth	signifieth
acroffe	acrosfe
middeft	middest
aunfwereth	aunswereth
Vifh	Vish
fuffife	suffise
tedioufneffe	tediousnesse
commoneft	commonest
acroffe	acrosse
enterprifes	enterprises
mofte	moste
ftaues	staues
fitteft	fittest
efchue	eschue
obfcuritie	obscuritie
ferueth	serueth
compendioufly	compendiously
Pfalmes	Psalmes
bafhefull	bashefull
wifheth	wisheth
goodneffe	goodnesse
ftirreth	stirreth
induftrious	industrious
curtefy	curtesy
vnworthyneffe	vnworthynesse
encreafe	encrease
conftrained	constrained
hoft	host
wantonneffe	wantonnesse
ynderftanding	ynderstanding
ftreaking	streaking
fpared	spared
expulfed	expulsed
delightfulneffe	delightfulnefse
myfery	mysery
Induftrye	Industrye
aduerfytie	aduersytie
corrofyue	corrosyue
rygoroufly	rygorously
idleneffe	idlenesse
ryotoufly	ryotously
furmyfes	surmyses
mifgouerned	misgouerned
confeffe	confefse
fufpected	suspected
difpayre	dispayre
breftes	brestes
eafye	easye
Phylofophy	Phylosophy
confeffe	confesse
fhoulders	shoulders
Induftrie	Industrie
rehearfed	rehearsed
finke	sinke
aduerfaries	aduersaries
induftrie	industrie
carelefneffe	carelesnesse
aduerfities	aduersities
fcriptures	scriptures
fufpects	suspects
ftubbornefle	stubbornefle
vniuftly	vniustly
VValkamftowe	VValkamstowe
profperitie	prosperitie
rafhe	rashe
prefumed	presumed
falfely	falsely
fpeedy	speedy
Lordfhip	Lordship
befeeching	beseeching
abafhed	abashed
rofte	roste
fkild	skild
fhrowde	shrowde
difcrie	discrie
praifing	praising
efteemde	esteemde
Deuifde	Deuisde
rowfing	rowsing
furmounte	surmounte
fupplie	supplie
counterfhape	countershape
fwerued	swerued
oppreft	opprest
fpyteful	spyteful
deferued	deserued
eftate	estate
fage	sage
feekes	seekes
Abufes	Abuses
worthieft	worthiest
ftomackes	stomackes
figne	signe
folempne	solempne
Difcries	Discries
rymeleffe	rymelesse
Gainft	Gainst
affault	assault
fugred	sugred
faddeft	saddest
defpight	despight
beaftes	beastes
fitte	sitte
ftayres	stayres
